,Mean,Std
Accuracy,0.805289510970038,0.006530755265246868
Precision,0.6602316749947327,0.01791326096113365
Recall,0.5498327759197325,0.02774105866665918
F1,0.5995478252178827,0.01682520970565782
ROC-AUC,0.8457748990725129,0.009262731310575381
