Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,Average Precision,CV Time (sec),F1 vs Baseline,Recall vs Baseline
XGBoost Weighted,0.7594944688818457,0.7636724164969262,0.5325484883682053,0.7725752508361204,0.6303545280877223,0.8438029782490595,0.6658347917026212,2.2758424282073975,0.030806702869839553,0.222742474916388
XGBoost,0.8031598058947109,0.717119495007093,0.6601238001513144,0.5337792642140469,0.5901303399317304,0.8454319265270204,0.6657068781118521,3.464690923690796,-0.009417485286152383,-0.016053511705685586
Logistic Regression,0.805289510970038,0.7236978517221407,0.6602316749947327,0.5498327759197325,0.5995478252178827,0.8457748990725129,0.6610957057448724,4.572300434112549,0.0,0.0
Logistic Regression Balanced,0.750089125155043,0.7664578780897585,0.5189474604864919,0.8013377926421406,0.629911724836336,0.845786067272045,0.6594405976898274,4.735668420791626,0.030363899618453205,0.2515050167224081
Random Forest,0.7898490309707944,0.6958814526634305,0.6330986999042942,0.49565217391304345,0.5556406897304752,0.8239731405631566,0.6190128377221621,4.445052862167358,-0.043907135487407545,-0.054180602006689005
Random Forest Balanced,0.7758263580356848,0.7350488461471059,0.5679865804006651,0.6481605351170568,0.605365445441633,0.8262242824927547,0.6146085470418798,4.455161094665527,0.005817620223750208,0.0983277591973244
