mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__scale_pos_weight,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.6103991985321044,0.042471069078667094,0.16649446487426758,0.013225876512279902,0.8,2.0764,1.0,0.5,150,1,2,0.05,0.8,"{'classifier__subsample': 0.8, 'classifier__scale_pos_weight': 2.0764, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 1, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.8}",0.7763975155279503,0.774622892635315,0.7879325643300799,0.7604259094942325,0.7815275310834814,0.7761812826142118,0.009136543250156903,5,0.759150873281308,0.7686269044964698,0.7787532515793385,0.751486436269045,0.7647903329518386,0.7645615597155999,0.009145686023138443,4,0.561038961038961,0.5552825552825553,0.5761421319796954,0.5354523227383863,0.5691906005221932,0.5594213143123583,0.013923242157098392,8,0.7224080267558528,0.7558528428093646,0.7591973244147158,0.7324414715719063,0.7290969899665551,0.7397993311036789,0.014866963726349788,14,0.631578947368421,0.6402266288951841,0.6551226551226551,0.6186440677966102,0.6392961876832844,0.636973697373231,0.011920057383651468,1,0.8416541450567915,0.8531518103824343,0.8635891780976847,0.8415874977784241,0.8522402364997391,0.8504445735630147,0.00823472634309866,1,0.6515753297052512,0.7031057473654929,0.693362337434872,0.6515692876700536,0.6652832367608662,0.6729791877873071,0.021442103477046923,1
0.6776163101196289,0.1371255225348398,0.15548982620239257,0.00600481452228367,0.7,1.0,2.0,0.0,150,1,2,0.05,0.8,"{'classifier__subsample': 0.7, 'classifier__scale_pos_weight': 1.0, 'classifier__reg_lambda': 2.0, 'classifier__reg_alpha': 0.0, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 1, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.8}",0.7923691215616682,0.805678793256433,0.8198757763975155,0.8047914818101154,0.8134991119005328,0.8072428569852528,0.009256510352066547,2,0.7016443701226309,0.7245912300260127,0.7310479375696767,0.7197138610182088,0.7246322890085047,0.7203259375490068,0.010010736900310083,23,0.6359832635983264,0.66,0.7105263157894737,0.6625514403292181,0.6926406926406926,0.6723403424715422,0.02623057992835112,2,0.5083612040133779,0.5518394648829431,0.5418060200668896,0.5384615384615384,0.5351170568561873,0.5351170568561873,0.014501326681390493,23,0.5650557620817844,0.6010928961748634,0.6148007590132827,0.5940959409594095,0.6037735849056604,0.5957637886270001,0.01673754507276674,23,0.8416985765757032,0.8534608114003198,0.8621007222141437,0.8411633787342673,0.852169464518973,0.8501185906886815,0.007874521667476573,2,0.6540206600489713,0.7028810237459147,0.6911570872139273,0.648508999747556,0.6657668501519384,0.6724669241816615,0.021135171833339943,2
0.8892608165740967,0.1991054664846035,0.1854711055755615,0.0103866889113531,0.7,2.7686,5.0,0.1,150,1,3,0.05,0.9,"{'classifier__subsample': 0.7, 'classifier__scale_pos_weight': 2.7686, 'classifier__reg_lambda': 5.0, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.9}",0.7595385980479148,0.7497781721384206,0.7604259094942325,0.7400177462289264,0.7495559502664298,0.7518632752351848,0.007512885552269738,14,0.7679765886287626,0.76347082868822,0.7760590858416945,0.751486436269045,0.7654454792880743,0.7648876837431593,0.007953032204367706,3,0.5316742081447964,0.5185995623632386,0.5318681318681319,0.5065502183406113,0.5184381778741866,0.5214260597181929,0.009510716049388725,14,0.7859531772575251,0.7926421404682275,0.8093645484949833,0.7759197324414716,0.7993311036789298,0.7926421404682275,0.011390893890251766,12,0.6342780026990553,0.626984126984127,0.6419098143236074,0.6129458388375165,0.6289473684210526,0.6290130302530718,0.009553244204499312,4,0.8386025075533581,0.8515886287625418,0.86098589501236,0.8425003635306093,0.849933069926761,0.8487220929571262,0.007761446506877639,3,0.6530101627670294,0.6973172762068648,0.6896441374630669,0.6543982765939231,0.6589771450283011,0.670669399611837,0.018886274968865822,3
1.0442142963409424,0.09610944281450691,0.17841048240661622,0.014167350590065108,1.0,1.0,1.0,0.0,250,3,4,0.03,0.7,"{'classifier__subsample': 1.0, 'classifier__scale_pos_weight': 1.0, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.0, 'classifier__n_estimators': 250, 'classifier__min_child_weight': 3, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.7}",0.7861579414374446,0.8065661047027507,0.8127772848269743,0.7994676131322094,0.8099467140319716,0.8029831316262701,0.009515256255917435,3,0.6963489409141583,0.7219899665551839,0.7187383872166481,0.7171590486807877,0.7179433257978024,0.714435933832916,0.009191637299214113,25,0.6188524590163934,0.6666666666666666,0.6981981981981982,0.6454183266932271,0.6872246696035242,0.6632720640356019,0.028624963703774268,3,0.5050167224080268,0.5418060200668896,0.5183946488294314,0.5418060200668896,0.5217391304347826,0.525752508361204,0.014252358362984953,25,0.5561694290976059,0.5977859778597786,0.5950095969289827,0.5890909090909091,0.5931558935361216,0.5862423613026797,0.015299751028040135,25,0.8381420354482736,0.848738952708707,0.8632175690304235,0.8405675924579517,0.8475510872598302,0.8476434473810371,0.008764775856500163,7,0.6545962555357363,0.6936143890910147,0.691503007034884,0.6451266933166101,0.6584826308242268,0.6686645951604944,0.0199985433213251,4
1.2291180610656738,0.215794773125001,0.1724626064300537,0.007608298775454575,0.8,1.0,2.0,0.1,250,1,3,0.05,0.8,"{'classifier__subsample': 0.8, 'classifier__scale_pos_weight': 1.0, 'classifier__reg_lambda': 2.0, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 250, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.8}",0.7923691215616682,0.805678793256433,0.8172138420585625,0.8092280390417036,0.8126110124333925,0.8074201616703519,0.008434402173084075,1,0.702712746191007,0.7192493496841323,0.7260312151616499,0.7248699368264586,0.7240276940871021,0.71937818839007,0.0086463117274492,24,0.6348547717842323,0.6666666666666666,0.7066666666666667,0.6735537190082644,0.6896551724137931,0.6742793993079246,0.024075427519013044,1,0.5117056856187291,0.5351170568561873,0.5317725752508361,0.5451505016722408,0.5351170568561873,0.5317725752508361,0.010991088110471553,24,0.5666666666666667,0.5936920222634509,0.6068702290076335,0.6025878003696857,0.6026365348399246,0.5944906506294723,0.014560117548536842,24,0.8370029728725381,0.8471737514743186,0.8623228798087021,0.8401495322572826,0.8506286573948632,0.8474555587615409,0.008874905976416783,8,0.6559126425552609,0.690576309324831,0.6936075420834306,0.6449035735842663,0.6581120464344025,0.6686224227964384,0.01970187631920977,5
1.2911283016204833,0.31787929900454653,0.21325330734252929,0.059657429802404384,0.9,3.4607,1.0,0.0,150,1,5,0.03,0.9,"{'classifier__subsample': 0.9, 'classifier__scale_pos_weight': 3.4607, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.0, 'classifier__n_estimators': 150, 'classifier__min_child_weight': 1, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.9}",0.74622892635315,0.743566992014197,0.7515527950310559,0.7364685004436557,0.7362344582593251,0.7428103344202768,0.005867723996920174,17,0.7642604979561501,0.7645856558900037,0.78070419918246,0.7554812337421033,0.7606471389921261,0.7651357451525685,0.008447515523168187,2,0.5139186295503212,0.510548523206751,0.5195876288659794,0.5021097046413502,0.5020661157024794,0.5096461203933762,0.006814048569624535,17,0.802675585284281,0.8093645484949833,0.842809364548495,0.7959866220735786,0.8127090301003345,0.8127090301003344,0.016109156627146872,6,0.6266318537859008,0.6261319534282018,0.6428571428571429,0.6157826649417852,0.6206896551724138,0.6264186540370889,0.009124661726178531,6,0.8387156059651335,0.8464648667862279,0.862058310309728,0.8393719806763286,0.8468231468862351,0.8466867821247306,0.008407112347348361,9,0.6590812198253981,0.6878389461121796,0.6899971578012669,0.642306616963154,0.6550491740692763,0.6668546229542549,0.018859044277269532,6
1.9926252841949463,0.19863906162379408,0.19885568618774413,0.02906353887094115,0.8,4.1528,5.0,0.5,350,3,5,0.01,1.0,"{'classifier__subsample': 0.8, 'classifier__scale_pos_weight': 4.1528, 'classifier__reg_lambda': 5.0, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 350, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.01, 'classifier__colsample_bytree': 1.0}",0.7187222715173026,0.7169476486246673,0.7275953859804791,0.7187222715173026,0.7175843694493783,0.7199143894178259,0.003900526691618518,22,0.7583612040133779,0.7603586027499071,0.7750836120401338,0.7540876997398737,0.7586271044553995,0.7613036445997384,0.007192666970260981,8,0.4827586206896552,0.4811320754716981,0.4924812030075188,0.48249027237354086,0.4819047619047619,0.48415338668943503,0.004201154149666148,22,0.842809364548495,0.8528428093645485,0.8762541806020067,0.8294314381270903,0.8461538461538461,0.8494983277591972,0.015399149743439908,4,0.6138855054811205,0.6151990349819059,0.6305655836341757,0.6100861008610086,0.6140776699029126,0.6167627789722246,0.007113778965651662,15,0.8412158887111628,0.8491852875123197,0.8620684083822079,0.8413168694359621,0.8467907939807421,0.8481154496044789,0.007634251202991451,5,0.6558737319176143,0.6884942667042643,0.6894634203628518,0.6484808596685299,0.6511761982117605,0.6666976953730043,0.0183482801276087,7
1.168156671524048,0.08555678547785604,0.18042783737182616,0.01586356815717334,1.0,3.4607,2.0,0.0,350,5,4,0.03,0.9,"{'classifier__subsample': 1.0, 'classifier__scale_pos_weight': 3.4607, 'classifier__reg_lambda': 2.0, 'classifier__reg_alpha': 0.0, 'classifier__n_estimators': 350, 'classifier__min_child_weight': 5, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 0.9}",0.7471162377994676,0.7293700088731144,0.7444543034605147,0.7240461401952085,0.7326820603907638,0.7355337501438137,0.008852336584208068,19,0.7659327387588257,0.7549238201412114,0.7715997770345596,0.7448903753251579,0.7560934675439697,0.7586880357607448,0.009278742600265783,13,0.5149572649572649,0.49387755102040815,0.511340206185567,0.48760330578512395,0.49793388429752067,0.5011424424491769,0.010404089778980836,19,0.8060200668896321,0.8093645484949833,0.8294314381270903,0.7892976588628763,0.8060200668896321,0.8080267558528428,0.01279674011351771,8,0.6284224250325945,0.6134347275031685,0.6326530612244898,0.6028097062579821,0.6155810983397191,0.6185802036715908,0.01076191235317669,13,0.8349813387620572,0.844954195143231,0.8619835845733766,0.8371362674292732,0.8434119374133044,0.8444934646642484,0.009506788716890126,12,0.6552952070793115,0.6916770389819918,0.6854151475851901,0.6423949002867881,0.6532290638326191,0.6656022715531802,0.019340928010761038,8
0.9109763145446778,0.24416228286456257,0.2211893081665039,0.06246248914996186,1.0,4.1528,5.0,0.5,250,3,2,0.1,0.9,"{'classifier__subsample': 1.0, 'classifier__scale_pos_weight': 4.1528, 'classifier__reg_lambda': 5.0, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 250, 'classifier__min_child_weight': 3, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.9}",0.7178349600709849,0.7142857142857143,0.7204968944099379,0.707187222715173,0.7104795737122558,0.7140568730388133,0.004812262487445353,23,0.7566889632107023,0.7617521367521367,0.7734578223708659,0.7494425863991081,0.7591285744905428,0.7600940166446712,0.007839899227611328,11,0.4817658349328215,0.47866419294990725,0.48534798534798534,0.4709193245778612,0.47513812154696133,0.4783670918711073,0.005025297686598374,23,0.8394648829431438,0.862876254180602,0.8862876254180602,0.8394648829431438,0.862876254180602,0.8581939799331104,0.017519466025028477,3,0.6121951219512195,0.6157517899761337,0.6272189349112426,0.6033653846153846,0.6128266033254157,0.6142715669558791,0.007683355440901027,17,0.8357265765110755,0.8474888113356922,0.8594570468388993,0.8379845055175869,0.8490696517614136,0.8459453183929335,0.008514785521005094,10,0.6490096303701866,0.6966432711648625,0.6829541253197167,0.638182081262325,0.6611866982174969,0.6655951612669175,0.021500279524433886,9
0.9685795307159424,0.03920471095277717,0.1778961181640625,0.022469647789960853,1.0,2.7686,2.0,0.1,250,3,4,0.01,0.7,"{'classifier__subsample': 1.0, 'classifier__scale_pos_weight': 2.7686, 'classifier__reg_lambda': 2.0, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 250, 'classifier__min_child_weight': 3, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.01, 'classifier__colsample_bytree': 0.7}",0.7542147293700089,0.7417923691215617,0.7639751552795031,0.7346938775510204,0.7442273534635879,0.7477806969571363,0.010231406705458655,15,0.7696952805648458,0.7580360460795244,0.7880899293942772,0.7521367521367521,0.7586149721158396,0.7653145960582478,0.01272339598138301,1,0.5240174672489083,0.5085836909871244,0.535181236673774,0.5,0.5119305856832972,0.5159425961186208,0.0123267588412373,15,0.802675585284281,0.7926421404682275,0.8394648829431438,0.7892976588628763,0.7892976588628763,0.802675585284281,0.01903712303780294,11,0.6340819022457067,0.6196078431372549,0.6536458333333334,0.6121919584954605,0.6210526315789474,0.6281160337581406,0.014582313836413657,5,0.8424195789507699,0.8512695296721762,0.8627813322992908,0.8383419772833761,0.8471810509032527,0.8483986938217732,0.008407996247695086,4,0.6483185991008206,0.6911645551390937,0.6898956146918368,0.6433840277935412,0.6547917451430791,0.6655109083736743,0.020749931553106452,10
