,Accuracy,Precision,Recall,F1,ROC-AUC
Fold 1,0.7985803016858918,0.6417322834645669,0.5451505016722408,0.5895117540687161,0.8365687557559013
Fold 2,0.8145519077196096,0.6704545454545454,0.5919732441471572,0.6287744227353463,0.8527074951933175
Fold 3,0.8074534161490683,0.6722689075630253,0.5351170568561873,0.595903165735568,0.8551350718174915
Fold 4,0.7994676131322094,0.6398467432950191,0.5585284280936454,0.5964285714285714,0.835243888646535
Fold 5,0.8063943161634103,0.6768558951965066,0.5183946488294314,0.5871212121212122,0.8492192839493191
