Model Family,Average Precision,ROC-AUC,F1,Recall,Precision,Balanced Accuracy,Accuracy,Tuning Time (sec)
XGBoost,0.6729791877873071,0.8504445735630147,0.636973697373231,0.7397993311036789,0.5594213143123583,0.7645615597155999,0.7761812826142118,41.752228021621704
Logistic Regression,0.6611911834925891,0.8458064314333015,0.601156048792701,0.5518394648829432,0.6611656986629648,0.724701196203746,0.8058220554419929,10.915086507797241
