mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__penalty,param_classifier__class_weight,param_classifier__C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.3758403301239014,0.042991440270754466,0.16109185218811034,0.005217883192020485,l1,,1.0,"{'classifier__penalty': 'l1', 'classifier__class_weight': None, 'classifier__C': 1.0}",0.7994676131322094,0.8136645962732919,0.8101153504880213,0.7985803016858918,0.8072824156305506,0.8058220554419929,0.0059142609928128816,3,0.7192958008175399,0.741778149386845,0.724405425492382,0.7218970642883686,0.7161295410335944,0.724701196203746,0.008969554479097624,11,0.6431372549019608,0.6692015209125475,0.6778242677824268,0.6374045801526718,0.6782608695652174,0.6611656986629648,0.01745819446458239,6,0.5484949832775919,0.5886287625418061,0.5418060200668896,0.5585284280936454,0.5217391304347826,0.5518394648829432,0.021982176220943145,11,0.592057761732852,0.6263345195729537,0.6022304832713755,0.5953654188948306,0.5897920604914934,0.601156048792701,0.013270721551057543,11,0.8365283634659816,0.8525216906596867,0.8551996994813631,0.8354539285541176,0.8493284750053584,0.8458064314333015,0.008233952187054198,8,0.6545924433578442,0.6931507080260703,0.665742548272891,0.6475866144471852,0.6448836033589549,0.6611911834925891,0.017531063686277073,1
1.062715482711792,0.6151306472127699,0.3484518051147461,0.180581496240202,l1,,0.3,"{'classifier__penalty': 'l1', 'classifier__class_weight': None, 'classifier__C': 0.3}",0.7994676131322094,0.8136645962732919,0.8136645962732919,0.7968056787932565,0.8046181172291297,0.8056441203402359,0.007013929583901402,5,0.7192958008175399,0.740709773318469,0.7278892604979561,0.7185525826830175,0.7111128186255677,0.7235120471885099,0.010109754408446414,13,0.6431372549019608,0.6704980842911877,0.6877637130801688,0.6346153846153846,0.6740088105726872,0.6620046494922779,0.019929466043906455,5,0.5484949832775919,0.5852842809364549,0.5451505016722408,0.5518394648829431,0.5117056856187291,0.5484949832775918,0.02336354407568294,14,0.592057761732852,0.625,0.6082089552238806,0.590339892665474,0.5817490494296578,0.5994711318103729,0.015365431703570635,13,0.8362173428335999,0.8520127478066987,0.8550704441536199,0.8349045934112097,0.8488876666680146,0.8454185589746286,0.008293163116596995,11,0.6562515301132745,0.6923411890318447,0.6644582339741519,0.6464468313430427,0.6450581328133792,0.6609111834551386,0.017220196769348696,2
0.28542723655700686,0.06183182680444767,0.19936413764953614,0.03768835492984735,l2,,1.0,"{'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 1.0}",0.7985803016858918,0.8145519077196096,0.8074534161490683,0.7994676131322094,0.8081705150976909,0.805644750756894,0.0059506583009885875,4,0.7176235600148644,0.7434503901895206,0.7204570791527314,0.7225009290226682,0.7178017818362701,0.724366748043211,0.009711040676497267,12,0.6417322834645669,0.6704545454545454,0.6722689075630253,0.6398467432950191,0.6796536796536796,0.6607912318861673,0.016630235843956204,7,0.5451505016722408,0.5919732441471572,0.5351170568561873,0.5585284280936454,0.5250836120401338,0.5511705685618729,0.023209834880130422,12,0.5895117540687161,0.6287744227353463,0.595903165735568,0.5964285714285714,0.5924528301886792,0.6006141488313762,0.014300935198259286,12,0.8365202850079976,0.8527317305672694,0.8551431502754754,0.8352762024784709,0.849692445192156,0.8458727627042739,0.008334643697873848,6,0.6554175802320517,0.6924045169435673,0.6653348978082381,0.6470414690173055,0.6439306582654111,0.6608258244533147,0.017448494277581425,3
1.6934720993041992,0.08168393111192648,0.18659543991088867,0.032487711556184046,l1,,10.0,"{'classifier__penalty': 'l1', 'classifier__class_weight': None, 'classifier__C': 10.0}",0.8021295474711624,0.8163265306122449,0.8021295474711624,0.8003549245785271,0.8090586145648313,0.8059998329395857,0.005963556648047744,1,0.7221757710888146,0.7457264957264957,0.7157655146785582,0.7273782980304719,0.7205416685202186,0.7263175496089118,0.010389349829905466,9,0.6496062992125984,0.6742424242424242,0.6570247933884298,0.6380597014925373,0.6794871794871795,0.6596840795646338,0.015364604473239563,10,0.5518394648829431,0.5953177257525084,0.5317725752508361,0.5719063545150501,0.5317725752508361,0.5565217391304347,0.02444905268561482,9,0.596745027124774,0.6323268206039077,0.5878003696857671,0.6031746031746031,0.5966228893058161,0.6033339419789736,0.015299387536374104,9,0.8369726786550983,0.853297222626145,0.8552602879162426,0.8353206339973824,0.8503031062833387,0.8462307858956415,0.008399930860034372,3,0.6552480545518524,0.691447026721408,0.6664956144143127,0.645835455155019,0.6442139072769449,0.6606480116239074,0.01732873302109143,4
0.2756814479827881,0.028886420565508046,0.18912653923034667,0.02495664784214207,l2,,10.0,"{'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 10.0}",0.8021295474711624,0.8163265306122449,0.8021295474711624,0.7994676131322094,0.8090586145648313,0.805822370650322,0.006139502917320731,2,0.7221757710888146,0.7457264957264957,0.7157655146785582,0.7267744332961724,0.7216093144014915,0.7264103058383065,0.01027171030313684,8,0.6496062992125984,0.6742424242424242,0.6570247933884298,0.6356877323420075,0.6779661016949152,0.658905470176075,0.015669107886854022,11,0.5518394648829431,0.5953177257525084,0.5317725752508361,0.5719063545150501,0.5351170568561873,0.5571906354515049,0.023799928929307306,8,0.596745027124774,0.6323268206039077,0.5878003696857671,0.602112676056338,0.5981308411214953,0.6034231469184564,0.015190896217702664,8,0.8369888355710662,0.8533982033509444,0.8552441310002747,0.8353125555393985,0.8505012678294841,0.8462889986582336,0.008431532899613604,1,0.6552967848238286,0.6914507049080121,0.666264176631659,0.6455805183595622,0.6432574816920573,0.6603699332830238,0.017538848867460613,5
0.15909371376037598,0.013446264192229827,0.2015974521636963,0.051124928885526194,l2,,30.0,"{'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 30.0}",0.8012422360248447,0.8163265306122449,0.8012422360248447,0.7985803016858918,0.8063943161634103,0.8047571241022473,0.006314959641917541,7,0.721571906354515,0.7457264957264957,0.7140932738758825,0.7251021924934968,0.7187278837560105,0.7250443504412801,0.010951129408100368,10,0.6470588235294118,0.6742424242424242,0.6556016597510373,0.6343283582089553,0.6708860759493671,0.6564234683362391,0.01485427912625467,13,0.5518394648829431,0.5953177257525084,0.5284280936454849,0.568561872909699,0.5317725752508361,0.5551839464882943,0.024758201368992323,10,0.5956678700361011,0.6323268206039077,0.5851851851851851,0.599647266313933,0.5932835820895522,0.6012221448457359,0.01625445119873245,10,0.8370817378378814,0.8535234194496955,0.855187581794387,0.8349853779910492,0.8504972237162973,0.8462550681578621,0.008506121557626579,2,0.6557316573930767,0.6915181000155786,0.6660454359768495,0.6457993620884264,0.6419222589235566,0.6602033628794975,0.017756197400181382,6
0.21515650749206544,0.012025280378776617,0.17985844612121582,0.02464135812086481,l2,,0.3,"{'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 0.3}",0.7994676131322094,0.8127772848269743,0.8092280390417036,0.7950310559006211,0.8063943161634103,0.8045796618129837,0.006471635356472512,8,0.7192958008175399,0.7401059085841695,0.7238015607580826,0.7173448532144184,0.7144573002309189,0.723001084721026,0.009076718551880213,14,0.6431372549019608,0.6679389312977099,0.675,0.6297709923664122,0.6768558951965066,0.6585406147525179,0.018759764824088192,12,0.5484949832775919,0.5852842809364549,0.5418060200668896,0.5518394648829431,0.5183946488294314,0.5491638795986622,0.021508943399081663,13,0.592057761732852,0.6238859180035651,0.601113172541744,0.5882352941176471,0.5871212121212122,0.5984826717034041,0.013620686007684828,14,0.8359507537201298,0.8522874153781527,0.8548886788489812,0.8350540448839127,0.8494659748537042,0.8455293735369761,0.008369552238473193,9,0.6539084335910519,0.6920561159971484,0.6645976320800039,0.6466563872320584,0.6433854021729902,0.6601207942146506,0.017549153149499428,7
0.21713104248046874,0.00948916226312154,0.16193580627441406,0.008846274618442613,l2,,0.1,"{'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 0.1}",0.7985803016858918,0.8118899733806566,0.8145519077196096,0.7941437444543035,0.8028419182948491,0.8044015691070621,0.00775433045679277,9,0.7165551839464883,0.7384336677814938,0.7274247491638796,0.7156726124117428,0.7088359829014894,0.7213844392410188,0.010397807141142974,15,0.6428571428571429,0.6666666666666666,0.6923076923076923,0.6283524904214559,0.6696035242290749,0.6599575032964065,0.022252606534996104,9,0.5418060200668896,0.5819397993311036,0.5418060200668896,0.5484949832775919,0.5083612040133779,0.5444816053511705,0.023401813624797176,15,0.588021778584392,0.6214285714285714,0.6078799249530957,0.5857142857142857,0.5779467680608364,0.5961982657482363,0.016018211098793624,15,0.8351065548608081,0.8514472557478229,0.8542262452942981,0.834472395909069,0.8496317834943563,0.8449768470612709,0.00844810217234278,13,0.6533555810520375,0.6912281180854412,0.6639751682744173,0.6456383041630663,0.6418900958298069,0.6592174534809538,0.017699212785985997,8
0.2699728488922119,0.03604438591934144,0.18099570274353027,0.028025398742438187,l2,balanced,3.0,"{'classifier__penalty': 'l2', 'classifier__class_weight': 'balanced', 'classifier__C': 3.0}",0.7551020408163265,0.7471162377994676,0.7568766637089619,0.735581188997338,0.7513321492007105,0.7492016561045609,0.0075911181789424026,16,0.767094017094017,0.7605908584169454,0.7768487551096247,0.7548773690078038,0.7687899608934254,0.7656401921043633,0.007469948686071872,1,0.5254988913525499,0.5152838427947598,0.5268817204301075,0.5010526315789474,0.5205183585313174,0.5178470889375364,0.00933739103181982,16,0.7926421404682275,0.7892976588628763,0.8193979933110368,0.7959866220735786,0.8060200668896321,0.8006688963210703,0.01090936884969905,1,0.632,0.6235138705416117,0.6413612565445026,0.6149870801033591,0.6325459317585301,0.6288816277896008,0.008952807112387233,2,0.8373523661803435,0.8520410224096424,0.8555026416557607,0.8354902816150452,0.8490049459504272,0.8458782515622438,0.008012309132279316,5,0.6548437782798527,0.6878516382612864,0.6674809870299279,0.6466825677143412,0.6390472519027592,0.6591812446376334,0.0171539231489437,9
1.7741286754608154,0.15479404081325926,0.11913414001464843,0.03250276882428551,l1,balanced,10.0,"{'classifier__penalty': 'l1', 'classifier__class_weight': 'balanced', 'classifier__C': 10.0}",0.7542147293700089,0.7453416149068323,0.7613132209405501,0.7329192546583851,0.7513321492007105,0.7490241938152974,0.009552161616680233,18,0.7664901523597176,0.7593831289483464,0.7809364548494984,0.7509290226681531,0.7687899608934254,0.7653057439438282,0.00999629128714527,3,0.5243362831858407,0.5130434782608696,0.5324675324675324,0.4978902953586498,0.5205183585313174,0.517651189560842,0.011697513367404348,17,0.7926421404682275,0.7892976588628763,0.822742474916388,0.7892976588628763,0.8060200668896321,0.8,0.012935839201213179,2,0.6311584553928096,0.621870882740448,0.6465177398160316,0.610608020698577,0.6325459317585301,0.6285402060812793,0.011934286181142381,3,0.8374816215080866,0.852372239186984,0.8553935824729776,0.8351792609826636,0.8491505340251464,0.8459154476351717,0.008104148420126333,4,0.6548408751411905,0.6880224718522485,0.6669547149548156,0.6455446896418753,0.6390656435346723,0.6588856790249604,0.017327655814400468,10
